Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
,,,,,,,,,,,,Larval fishes utilize Batesian mimicry as a survival strategy in the plankton,"Greer, Adam T.; Woodson, C. Brock; Guigand, Cedric M.; Cowen, Robert K.",,,,MARINE ECOLOGY PROGRESS SERIES,JUN 9 2016,2016,551,,,,,1,12,,10.3354/meps11751,,,0,0
,,,,Butterfly,,,Butterfly,,,,Predator,Diversity in mimicry: paradox or paradigm?,"Joron, M; Mallet, JLB",,,,TRENDS IN ECOLOGY & EVOLUTION,Nov-98,1998,13,11,,,,461,466,,10.1016/S0169-5347(98)01483-9,,,180,9
,,,,,,,,,,,,THREE BATESIAN MIMIC OF MYRMARACHNE AT INDORE ( MP).,"Vipul, K. Sharma",,,,Indian Journal of Arachnology,Dec-12,2012,1,2,,,,40,44,,,,,0,0
,,,,,,,,,,,,Aggressive mimics profit from a model-signal receiver mutualism,"Cheney, Karen L.; Cote, Isabelle M.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,SEP 7 2007,2007,274,1622,,,,2087,2091,,10.1098/rspb.2007.0543,,,5,0.45
,,,,,,,,,,,,An exceptionally high diversity of hoverflies (Syrphidae) in the food of the reed warbler (Acrocephalus scirpaceus),"Grim, Tomas",,,,BIOLOGIA,Mar-06,2006,61,2,,,,235,239,,10.2478/s11756-006-0036-6,,,6,0.5
,,,,,,,,,,,,The phenology of Syrphidae (Diptera): are they Batesian mimics of Hymenoptera,"Howarth, B; Edmunds, M",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Nov-00,2000,71,3,,,,437,457,,10.1111/j.1095-8312.2000.tb01268.x,,,16,0.89
,,,,,,,,,,,,"Variation, adaptation and developmental constraints in the mimetic butterfly Papilio dardanus","Cieslak, A; Vane-Wright, RI; Vogler, AP",,,"Sekimura, T; Noji, S; Ueno, N; Maini, PK",MORPHOGENESIS AND PATTERN FORMATION IN BIOLOGICAL SYSTEMS: EXPERIMENTS AND MODELS,2003,2003,,,,,,97,108,,,Meeting on Morphogenesis and Pattern Formation in Biological Systems,"SEP 24-27, 2002",0,0
,Not about mimicry,,,,,,,,,,,The complex business of survival by aposematism,"Mappes, J; Marples, N; Endler, JA",,,,TRENDS IN ECOLOGY & EVOLUTION,Nov-05,2005,20,11,,,,598,603,,10.1016/j.tree.2005.07.011,,,149,11.46
,,,,,,,,,,,,"Life-history constraints in inaccurate Batesian myrmecomorphic spiders (Araneae: Corinnidae, Gnaphosidae)","Pekar, Stano; Jarab, Martin",,,,EUROPEAN JOURNAL OF ENTOMOLOGY,APR 5 2011,2011,108,2,,,,255,260,,,,,8,1.14
,,,,,,,,,,,,Automimicry and the evolution of discrete prey defences,"Speed, MP; Ruxton, GD; Broom, M",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Mar-06,2006,87,3,,,,393,402,,10.1111/j.1095-8312.2006.00577.x,,,14,1.17
,,,,,,,,,,,,"Phylogeny, systematics and evolution of mimetic wing patterns of Eterusia moths (Lepidoptera, Zygaenidae, Chalcosiinae)","Yen, SH; Robinson, GS; Quicke, DLJ",,,,SYSTEMATIC ENTOMOLOGY,Jul-05,2005,30,3,,,,358,397,,10.1111/j.1365-3113.2004.00284.x,,,7,0.54
,,,,,,,,,,,,Pattern of co-occurrence between ant-mimicking jumping spiders and sympatric ants in a Bornean tropical rainforest,"Hashimoto, Yoshiaki; Endo, Tomoji; Itioka, Takao; Hyodo, Fujio; Yamasaki, Takashi; Mohamed, Maryati",,,,RAFFLES BULLETIN OF ZOOLOGY,2016,2016,64,,,,,70,75,,,,,0,0
,,,,,,,,,,,,"VARIATION AND SEASONAL-CHANGES IN HOVERFLY SPECIES - INTERACTIONS BETWEEN TEMPERATURE, AGE AND GENOTYPE","HEAL, JR",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Mar-89,1989,36,3,,,,251,269,,10.1111/j.1095-8312.1989.tb00493.x,,,13,0.45
,,,,,,,,,,,,Mimicry unmasked.,"Sands, D.",,,,Practical Fishkeeping,1989,1989,1989,October,,,,44,46,,,,,2,0.07
,,,,,,,,,,,,UNIMODAL BATESIAN POLYMORPHISM IN THE NEOTROPICAL SWALLOWTAIL BUTTERFLY EURYTIDES LYSITHOUS (HBN),"WEST, DA",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Jul-94,1994,52,3,,,,197,224,,10.1111/j.1095-8312.1994.tb00987.x,,,4,0.17
,,,,,,,,,,,,"DESCRIPTION OF APATELODES AUDUBONI N. SP FROM TEXAS (BOMBYCOIDEA: APATELODIDAE), WITH A QUERY AS TO WHETHER APATELODID LARVAE ARE BATESIAN MIMICS","Wagner, David L.; Knudson, Edward C.",,,,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,SEP 2 2014,2014,68,3,,,,211,217,,,,,0,0
,,,,,,,,,,,,PILL MILLIPEDES - AN OVERVIEW,"Sridhar, K. R.; Kadamannaya, B. S.",,,"Nelson, M; Artamova, I","ORGANIC FARMING: METHODS, ECONOMICS AND STRUCTURE",2009,2009,,,,,,59,91,,,,,3,0.33
,,,,,,,,,,,,Aggressive use of Batesian mimicry by an ant-like jumping spider,"Nelson, Ximena J.; Jackson, Robert R.",,,,BIOLOGY LETTERS,DEC 23 2009,2009,5,6,,,,755,757,,10.1098/rsbl.2009.0355,,,9,1
,,,,,,,,,,,,Factors Mediating Co-Occurrence of an Economically Valuable Introduced Fish and Its Native Frog Prey,"Hartman, Rosemary; Pope, Karen; Lawler, Sharon",,,,CONSERVATION BIOLOGY,Jun-14,2014,28,3,,,,763,772,,10.1111/cobi.12218,,,5,1.25
,Theoretical,,,,,,,,,,,"Batesian, quasi-Batesian or Mullerian mimicry? Theory and data in mimicry Research","Speed, MP",,,,EVOLUTIONARY ECOLOGY,1999,1999,13,07-Aug,,,,755,776,,10.1023/A:1010871106763,,,46,2.42
,,,,,,,,,,,,"INTERSPECIFIC ASSOCIATIONS IN MEDITERRANEAN FISHES: FEEDING COMMUNITIES, CLEANING SYMBIOSES AND CLEANER MIMICS","Zander, C. D.; Nieder, J.",,,,VIE ET MILIEU-LIFE AND ENVIRONMENT,Sep-97,1997,47,3,,,,203,211,,,,,9,0.43
,,,,,,,,,,,,Primaerforsvar: Aposematisme.. Primary defence: aposematism.,"Gohli, Jostein",,,,Fauna (Oslo),2007,2007,60,1,,,,2,9,,,,,0,0
,,,,,,,,,,,,The Impact of Detoxification Costs and Predation Risk on Foraging: Implications for Mimicry Dynamics,"Halpin, Christina G.; Skelhorn, John; Rowe, Candy; Ruxton, Graeme D.; Higginson, Andrew D.",,,,PLOS ONE,JAN 3 2017,2017,12,1,,,,,,e0169043,10.1371/journal.pone.0169043,,,0,0
,,,,,,,,,,,,Multitrait aposematic signal in Batesian mimicry,"Outomuro, David; Angel-Giraldo, Pedro; Corral-Lopez, Alberto; Realpe, Emilio",,,,EVOLUTION,Jul-16,2016,70,7,,,,1596,1608,,10.1111/evo.12963,,,0,0
,,,,,,,,,,,,Evolution of a mimicry supergene from a multilocus architecture,"Jones, Robert T.; Salazar, Patricio A.; Ffrench-Constant, Richard H.; Jiggins, Chris D.; Joron, Mathieu",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JAN 22 2012,2012,279,1727,,,,316,325,,10.1098/rspb.2011.0882,,,19,3.17
,,,,,,,,,,,,The mimicry between British Syrphidae (Diptera) and aculeate Hymenoptera.,"Howarth, Brigitte; Clee, Carl; Edmunds, Malcolm",,,,British Journal of Entomology and Natural History,Mar-00,2000,13,1,,,,1,39,,,,,19,1.06
,,,,Spider,,,Ant,,,,Predator/spider,Vision-based innate aversion to ants and ant mimics,"Nelson, XJ; Jackson, RR",,,,BEHAVIORAL ECOLOGY,JUL-AUG 2006,2006,17,4,,,,676,681,,10.1093/beheco/ark017,,,34,2.83
,,,,,,,,,,,,Variation in wing pattern and palatability in a female-limited polymorphic mimicry system,"Long, Elizabeth C.; Hahn, Thomas P.; Shapiro, Arthur M.",,,,ECOLOGY AND EVOLUTION,Dec-14,2014,4,23,,,,4543,4552,,10.1002/ece3.1308,,,1,0.25
,,,,Flower,,,Flower,,,,Pollinator/Bumblebee,Pollination success in a deceptive orchid is enhanced by co-occurring rewarding magnet plants,"Johnson, SD; Peter, CI; Nilsson, LA; Agren, J",,,,ECOLOGY,Nov-03,2003,84,11,,,,2919,2927,,10.1890/02-0471,,,177,11.8
,,,,,,,,,,,,A revision of the snake eel genus Myrichthys (Anguilliformes: Ophichthidae) with the description of a new eastern Pacific species,"McCosker, John E.; Rosenblatt, Richard H.",,,,Proceedings of the California Academy of Sciences,1993,1993,48,8,,,,153,169,,,,,14,0.56
,,,,Artificial,,,Artificial,,,,Predator/pigeon,Relative importance of taste and visual appearance for predator education in Mullerian mimicry,"Lindstrom, L.; Lyytinen, A.; Mappes, J.; Ojala, K.",,,,ANIMAL BEHAVIOUR,Aug-06,2006,72,,2,,,323,333,,10.1016/j.anbehav.2005.10.015,,,29,2.42
,,,,,,,,,,,,Algunos papilionidos mimeticos de Colombia (Lepidoptera: Papilionidae).,"Salazar Escobar, J.A.",,,,SHILAP Revista de Lepidopterologia,1991,1991,19,,,No. 74,,93,110,,,,,1,0.04
,,,,,,,,,,,,"CARIBBEAN HORAMA (LEPIDOPTERA, ARCTIIDAE, CTENUCHINAE) WITH NEW SPECIES AND NOTES ON MIMICRY","MCCABE, TL",,,,PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON,Apr-92,1992,94,2,,,,243,248,,,,,2,0.08
,,,,Plant,,,Plant,,,,Herbivore/lamb,"Roles of odor, taste, and toxicity in the food preferences of lambs: implications for mimicry in plants","Provenza, FD; Kimball, BA; Villalba, JJ",,,,OIKOS,Feb-00,2000,88,2,,,,424,432,,10.1034/j.1600-0706.2000.880220.x,,,37,2.06
,,,,,,,,,,,,Anti-predator creches and aggregations of ant-mimicking jumping spiders (Araneae : Salticidae),"Nelson, Ximena J.; Jackson, Robert R.",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Jul-08,2008,94,3,,,,475,481,,10.1111/j.1095-8312.2008.01006.x,,,5,0.5
,,,,Plant,,,Plant,,,,Herbivore,Weapon (thorn) automimicry and mimicry of aposematic colorful thorns in plants,"Lev-Yadun, S",,,,JOURNAL OF THEORETICAL BIOLOGY,SEP 21 2003,2003,224,2,,,,183,188,,10.1016/S0022-5193(03)00156-5,,,31,2.07
,Theoretical,,,,,,,,,,,Learning and memory in mimicry: II. Do we understand the mimicry spectrum?,"Speed, MP; Turner, JRG",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Jul-99,1999,67,3,,,,281,312,,10.1111/j.1095-8312.1999.tb01935.x,,,66,3.47
,,,,,,,,,,,,Phenotypic Plasticity Confers Multiple Fitness Benefits to a Mimic,"Cortesi, Fabio; Feeney, William E.; Ferrari, Maud C. O.; Waldie, Peter A.; Phillips, Genevieve A. C.; McClure, Eva C.; Skoeld, Helen N.; Salzburger, Walter; Marshall, N. Justin; Cheney, Karen L.",,,,CURRENT BIOLOGY,MAR 30 2015,2015,25,7,,,,949,954,,10.1016/j.cub.2015.02.013,,,9,3
,,,,,,,,,,,,Asynchrony between Batesian mimics and their models.,"Walbauer, G.P.",,,,American Naturalist,1988,1988,131,Suppl.,,,,S103,S121,,,,,0,0
,,,,,,,,,,,,"ANT-MIMICRY IN SOME BRAZILIAN SALTICID AND CLUBIONID SPIDERS (ARANEAE, SALTICIDAE, CLUBIONIDAE)","OLIVEIRA, PS",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Jan-88,1988,33,1,,,,1,15,,10.1111/j.1095-8312.1988.tb00443.x,,,29,0.97
,,,,,,,,,,,,Life history changes by Batesian mimicry in the dobson fly Neurherme [Neurhermes] maculipennis.,"Hayashi, Fumio",,,,Nature & Insects,Nov-95,1995,30,12,,No 391,,15,20,,,,,3,0.13
,,,,,,,,,,,,A tale of 2 signals: signal mimicry between aposematic species enhances predator avoidance learning,"Rowland, Hannah M.; Hoogesteger, Tom; Ruxton, Graeme D.; Speed, Michael P.; Mappes, Johanna",,,,BEHAVIORAL ECOLOGY,JUL-AUG 2010,2010,21,4,,,,851,860,,10.1093/beheco/arq071,,,16,2
,,,,,,,,,,,,PLETHODON CINEREUS (Red-backed Salamander). ERYTHRISTIC MORPH,"McDonald, Marc L.; Kirschman, Lucas J.; Regester, Kurt J.",,,,Herpetological Review,Sep-11,2011,42,3,,,,405,406,,,,,1,0.14
,,,,Flower,,,Flower,,,,Pollinator/Diptera,Experimental and phylogenetic evidence for floral mimicry in a guild of fly-pollinated plants,"Johnson, SD; Alexandersson, R; Linder, HP",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Oct-03,2003,80,2,,,,289,304,,10.1046/j.1095-8312.2003.00236.x,,,45,3
,,,,,,,,,,,,Hoverfly mimicry deceives humans,"Golding, Y; Ennos, R; Sullivan, M; Edmunds, M",,,,JOURNAL OF ZOOLOGY,Aug-05,2005,266,,4,,,395,399,,10.1017/S0952836905007089,,,2,0.15
,,,,,,,,,,,,Coral snakes predict the evolution of mimicry across New World snakes.,"Davis Rabosky, Alison R; Cox, Christian L; Rabosky, Daniel L; Title, Pascal O; Holmes, Iris A; Feldman, Anat; McGuire, Jimmy A",,,,Nature communications,2016 May 05,2016,7,,,,,11484,,,10.1038/ncomms11484,,,0,0
,Not about mimicry,,,,,,,,,,,EVOLUTION OF GREGARIOUSNESS IN APOSEMATIC BUTTERFLY LARVAE - A PHYLOGENETIC ANALYSIS,"SILLENTULLBERG, B",,,,EVOLUTION,Mar-88,1988,42,2,,,,293,305,,10.2307/2409233,,,166,5.53
,,,,,,,,,,,,Avian chemical defense.,"Dumbacher, John P.; Pruett-Jones, Stephen",,,,Current Ornithology,1996,1996,13,,,,,137,174,,,,,29,1.32
,,,,,,,,,,,,"Diversity and adaptation in the ant genus Cephalotes, past and present (Hymenoptera, Formicidae)","de Andrade, Maria L.; Urbani, Cesare Baroni",,,,Stuttgarter Beitraege zur Naturkunde Serie B (Geologie und Palaeontologie),"Jan. 29, 1999",1999,0,271,,,,,,,,,,0,0
,,,,,,,,,,,,Mimicry's palette: widespread use of conserved pigments in the aposematic signals of snakes,"Kikuchi, David W.; Seymoure, Brett M.; Pfennig, David W.",,,,EVOLUTION & DEVELOPMENT,Mar-14,2014,16,2,,,,61,67,,10.1111/ede.12064,,,4,1
,,,,,,,,,,,,Conditions for the evolution of mimicry.,"Franks, Daniel W.; Noble, Jason",,,,From Animals to Animats,2002,2002,7,,,,,353,354,,,,,1,0.06
,,,,,,,,,,,,"Identificacion de las especies mimeticas de mariposas en la Reserva Natural Karagabi y el Jardin Botanico de Pueblo Rico (Pueblo Rico, Risaralda, Colombia) parte I.. [Identification of mimetic species of butterflies in Karagabi nature reserve and Pueblo Rico botanical garden (Pueblo Rico, Risaralda, Colombia) part I.]","Arango, Liliana",,,,Boletin Cientifico Museo de Historia Natural Universidad de Caldas,Noviembre 2004,2004,8,,,,,317,327,,,,,0,0
,,,,,,,,,,,,"Caelatoglanis zonatus, a new genus and species of the Erethistidae (Teleostei : Siluriformes) from Myanmar, with comments on the nomenclature of Laguvia and Hara species","Ng, HH; Kottelat, M",,,,ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,Mar-05,2005,16,1,,,,13,22,,,,,9,0.69
,Theoretical,,,,,,,,,,,Dynamics of mimicry evolution,"Holmgren, NMA; Enquist, M",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Feb-99,1999,66,2,,,,145,158,,,,,34,1.79
,,,,,,,,,,,,Prey community structure affects how predators select for Mullerian mimicry,"Ihalainen, Eira; Rowland, Hannah M.; Speed, Michael P.; Ruxton, Graeme D.; Mappes, Johanna",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JUN 7 2012,2012,279,1736,,,,2099,2105,,10.1098/rspb.2011.2360,,,16,2.67
,,,,,,,,,,,,Batesian mimicry: Can a leopard change its sopts - and get them back?,"Joron, Mathieu",,,,CURRENT BIOLOGY,JUN 3 2008,2008,18,11,,,,R476,R479,,10.1016/j.cub.2008.04.009,,,6,0.6
,,,,Artificial,,,Artificial,,,,Predator/fish,Predators favour mimicry in a tropical reef fish,"Caley, MJ; Schluter, D",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,APR 7 2003,2003,270,1516,,,,667,672,,10.1098/rspb.2002.2263,,,36,2.4
,,,,Frog,,,Frog,,,,Predator/chicken,Predator learning favours mimicry of a less-toxic model in poison frogs,"Darst, CR; Cummings, ME",,,,NATURE,MAR 9 2006,2006,440,7081,,,,208,211,,10.1038/nature04297,,,84,7
,,,,,,,,,,,,Frequency-dependent variation in mimetic fidelity in an intraspecific mimicry system,"Iserbyt, Arne; Bots, Jessica; Van Dongen, Stefan; Ting, Janice J.; Van Gossum, Hans; Sherratt, Thomas N.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,OCT 22 2011,2011,278,1721,,,,3116,3122,,10.1098/rspb.2011.0126,,,16,2.29
,,,,,,,,,,,,Body size as a primary determinant of ecomorphological diversification and the evolution of mimicry in the lampropeltinine snakes (Serpentes: Colubridae),"Pyron, R. Alexander; Burbrink, F. T.",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,Oct-09,2009,22,10,,,,2057,2067,,10.1111/j.1420-9101.2009.01820.x,,,20,2.22
,,,,,,,,,,,,Generalization of Mimics Imperfect in Colour Patterns: The Point of View of Wild Avian Predators,"Vesely, Petr; Luhanova, Dana; Praskova, Michaela; Fuchs, Roman",,,,ETHOLOGY,Feb-13,2013,119,2,,,,138,145,,10.1111/eth.12045,,,9,1.8
,,,,,,,,,,,,Cuckoos in raptors' clothing: barred plumage illuminates a fundamental principle of Batesian mimicry,"Gluckman, Thanh-Lan; Mundy, Nicholas I.",,,,ANIMAL BEHAVIOUR,Dec-13,2013,86,6,,,,1165,1181,,10.1016/j.anbehav.2013.09.020,,,7,1.4
,,,,,,,,,,,,From Cues to Signals: Evolution of Interspecific Communication via Aposematism and Mimicry in a Predator-Prey System,"Lehmann, Kenna D. S.; Goldman, Brian W.; Dworkin, Ian; Bryson, David M.; Wagner, Aaron P.",,,,PLOS ONE,MAR 10 2014,2014,9,3,,,,,,e91783,10.1371/journal.pone.0091783,,,3,0.75
,,,,,,,,,,,,Collective Batesian mimicry of ant groups by aggregating spiders,"Nelson, Ximena J.; Jackson, Robert R.",,,,ANIMAL BEHAVIOUR,Jul-09,2009,78,1,,,,123,129,,10.1016/j.anbehav.2009.04.005,,,12,1.33
,,,,Artificial,,,Artificial,,,,Predator/great tit,The effect of alternative prey on the dynamics of imperfect Batesian and Mullerian mimicries,"Lindstrom, L; Alatalo, RV; Lyytinen, A; Mappes, J",,,,EVOLUTION,Jun-04,2004,58,6,,,,1294,1302,,10.1554/03-271,,,47,3.36
,,,,,,,,,,,,Hawk mimicry and the evolution of polymorphic cuckoos.,"Thorogood, Rose; Davies, Nicholas B.",,,,Chinese Birds,Mar-13,2013,4,1,,,,39,50,,,,,14,2.8
,,,,,,,,,,,,SOME BIOLOGICAL RELATIONS BETWEEN MOLLUSCA AND POLYCLADIDA PRELIMINARY NOTE,PERRONE A,,,,Rivista di Idrobiologia,1989,1989,28,3,,,,289,295,,,,,0,0
,,,,,,,,,,,,Competition and the evolution of imperfect mimicry,"Pfennig, David W.; Kikuchi, David W.",,,,CURRENT ZOOLOGY,2012,2012,58,4,,,,608,619,,,,,6,1
,,,,,,,,,,,,"Isolation, identification, and quantification of potential defensive compounds in the viceroy butterfly and its larval host-plant, Carolina willow","Prudic, Kathleen L.; Khera, Smriti; Solyom, Aniko; Timmermann, Barbara N.",,,,JOURNAL OF CHEMICAL ECOLOGY,Jun-07,2007,33,6,,,,1149,1159,,10.1007/s10886-007-9282-5,,,10,0.91
,,,,,,,,,,,,Ecological and Evolutionary Processes Drive the Origin and Maintenance of Imperfect Mimicry,"Wilson, Joseph S.; Jahner, Joshua P.; Williams, Kevin A.; Forister, Matthew L.",,,,PLOS ONE,APR 12 2013,2013,8,4,,,,,,e61610,10.1371/journal.pone.0061610,,,6,1.2
,,,,,,,,,,,,"Redescription of the genus Curiades Pascoe 1880 (Coleoptera: Curculionidae: Entiminae: Naupactini), a potential mimic of Mutillidae from Brazil.","Guadalupe Del Rio, M.; Lanteri, Analia A.",,,,Zootaxa,Dec 3 2012,2012,3570,,,,,82,88,,,,,0,0
,Not about mimicry,,,,,,,,,,,Speciation processes in Eastern Mediterranean Orchis s.l. species: Molecular evidence and the role of pollination biology,"Cozzolino, S; Aceto, S; Caputo, P; Widmer, A; Dafni, A",,,,ISRAEL JOURNAL OF PLANT SCIENCES,2001,2001,49,2,,,,91,103,,10.1092/QV6M-E7A0-QFC7-G6BL,,,39,2.29
,,,,,,,,,,,,Ant Mimicry Lessens Predation on a North American Jumping Spider by Larger Salticid Spiders,"Durkee, Caitlin A.; Weiss, Martha R.; Uma, Divya B.",,,,ENVIRONMENTAL ENTOMOLOGY,Oct-11,2011,40,5,,,,1223,1231,,10.1603/EN11057,,,11,1.57
,,,,,,,,,,,,"Hoverflies of Mt. Tara, Nagasaki Prefecture (2) (Diptera: Syrphidae).","Ikezaki, Yoshihiro",,,,Transactions Nagasaki Biological Society,Nov-04,2004,57,,,,,61,62,,,,,0,0
,,,,,,,,,,,,The historical development of insect mimicry.,"Zhang, Xiao; Fang, Shi-Wei; Ren, Dong; Yang, Qiang",,,,Huanjing Kunchong Xuebao,December 15 2009,2009,31,4,,,,365,373,,,,,1,0.11
,Not about mimicry,,,,,,,,,,,A molecular phylogeny for the large African orchid genus Disa,"Bytebier, Benny; Bellstedt, Dirk U.; Linder, H. Peter",,,,MOLECULAR PHYLOGENETICS AND EVOLUTION,Apr-07,2007,43,1,,,,75,90,,10.1016/j.ympev.2006.08.014,,,31,2.82
,,,,Spider,,,Ant,,,,"Predator/bird, wasp",Mimicry complex in two central European zodariid spiders (Araneae : Zodariidae): how Zodarion deceives ants,"Pekar, S; Kral, J",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Apr-02,2002,75,4,,,,517,532,,10.1046/j.1095-8312.2002.00043.x,,,29,1.81
,,,,,,,,,,,,"A reassessment of the mimicry relationship among viceroys, queens, and monarchs in Florida.","Ritland, D.B.; Brower, L.P.",,,,Natural History Museum of Los Angeles County Science Series,1993,1993,,,,No. 38,,129,139,,,,,0,0
,,,,,,,,,,,,Effects of distance from models on the fitness of floral mimics.,"Duffy, K J; Johnson, S D",,,,"Plant biology (Stuttgart, Germany)",2017-Feb-01,2017,,,,,,,,,10.1111/plb.12555,,,0,0
,,,,,,,,,,,,Molecular Evolution: Breakthroughs and Mysteries in Batesian Mimicry,"Booker, Tom; Ness, Rob W.; Charlesworth, Deborah",,,,CURRENT BIOLOGY,JUN 15 2015,2015,25,12,,,,R506,R508,,10.1016/j.cub.2015.04.024,,,2,0.67
,,,,,,,,,,,,An empirical test of 2-dimensional signal detection theory applied to Batesian mimicry,"Kikuchi, David W.; Malick, Gaurav; Webster, Richard J.; Whissell, Emilee; Sherratt, Thomas N.",,,,BEHAVIORAL ECOLOGY,JUL-AUG 2015,2015,26,4,,,,1226,1235,,10.1093/beheco/arv072,,,0,0
,,,,,,,,,,,,Coloration and Defense in the Nudibranch Gastropod Hypselodoris fontandraui,"Haber, Markus; Cerfeda, Sonia; Carbone, Marianna; Calado, Goncalo; Gaspar, Helena; Neves, Ricardo; Maharajan, Veeramani; Cimino, Guido; Gavagnin, Margherita; Ghiselin, Michael T.; Mollo, Ernesto",,,,BIOLOGICAL BULLETIN,Apr-10,2010,218,2,,,,181,188,,,,,13,1.62
,,,,,,,,,,,,Defence Cheats Can Degrade Protection of Chemically Defended Prey,"Jones, Rebecca S.; Davis, Sian C.; Speed, Michael P.",,,,ETHOLOGY,Jan-13,2013,119,1,,,,52,57,,10.1111/eth.12036,,,4,0.8
,,,,,,,,,,,,Survival benefits in mimicry: A quantitative framework,"Mikaberidze, Alexey; Haque, Masudul",,,,JOURNAL OF THEORETICAL BIOLOGY,AUG 7 2009,2009,259,3,,,,462,468,,10.1016/j.jtbi.2009.02.024,,,1,0.11
,,,,,,,,,,,,A bird's eye view of two mimetic tropical butterflies: coloration matches predator's sensitivity,"Thurman, T. J.; Seymoure, B. M.",,,,JOURNAL OF ZOOLOGY,Mar-16,2016,298,3,,,,159,168,,10.1111/jzo.12305,,,0,0
,,,,,,,,,,,,Rapid evolution of mimicry following local model extinction.,"Akcali, Christopher K; Pfennig, David W",,,,Biology letters,2014-Jun,2014,10,6,,,,,,,10.1098/rsbl.2014.0304,,,0,0
,Theoretical with examples,,,,,,,,,,,"Evolution of diversity in warning color and mimicry: Polymorphisms, shifting balance, and speciation","Mallet, J; Joron, M",,,,ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,1999,1999,30,,,,,201,233,,10.1146/annurev.ecolsys.30.1.201,,,259,13.63
,,,,,,,,,,,,THE GENETICS OF ADAPTATION - LESSONS FROM MIMICRY,"CHARLESWORTH, B",,,,AMERICAN NATURALIST,Nov-94,1994,144,5,,,,839,847,,10.1086/285710,,,19,0.79
,,,,,,,,,,,,Curious orthopterological errors of a great naturalist: William Henry Hudson,"Bidau, Claudio J.",,,,Journal of Orthoptera Research,2012,2012,21,2,,,,255,260,,,,,0,0
,,,,,,,,,,,,How weird can mimicry get?,"Turner, JRG; Speed, MP",,,,EVOLUTIONARY ECOLOGY,1999,1999,13,07-Aug,,,,807,827,,10.1023/A:1010856716448,,,25,1.32
,,,,,,,,,,,,Reflexions sur le mimetisme.. [Reflections on mimicry.],"Heynderycx, Jozef",,,,Lambillionea,Decembre 2004,2004,104,4,,,,709,712,,,,,0,0
,,,,,,,,,,,,Mimicry and Eavesdropping Enable a New Form of Social Parasitism in Ants,"Powell, Scott; Del-Claro, Kleber; Feitosa, Rodrigo M.; Branda, Carlos Roberto F.",,,,AMERICAN NATURALIST,Oct-14,2014,184,4,,,,500,509,,10.1086/677927,,,6,1.5
,,,,Marine fish,,,"Marine fish, flatworm",,,,Predator,A review of mimicry in marine fishes,"Randall, JE",,,,ZOOLOGICAL STUDIES,Jul-05,2005,44,3,,,,299,328,,,,,58,4.46
,,,,Cuckoo,,,Hawk,,,,Brood host,Cuckoos Combat Socially Transmitted Defenses of Reed Warbler Hosts with a Plumage Polymorphism,"Thorogood, Rose; Davies, Nicholas B.",,,,SCIENCE,AUG 3 2012,2012,337,6094,,,,578,580,,10.1126/science.1220759,,,35,5.83
,,,,,,,,,,,,Convergent evolution of anti-bat sounds,"Corcoran, Aaron J.; Hristov, Nickolay I.",,,,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,Sep-14,2014,200,9,,,,811,821,,10.1007/s00359-014-0924-0,,,3,0.75
