"catalogNumber","type","order","scientificName","scientificNameAuthorship","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","locationRemarks","time","day","month","year","bodylength","source","dorsalAccuracyMorphometric","lateralAccuracyMorphometric","dorsalAccuracyMachineLearning","lateralAccuracyMachineLearning"
815,"mimetic spider","Araneae","Ligonipes sp3","",-23.3453361111111,150.556794444444,5,77.92590325,"Frenchville, North Rockhampton, Qld","16:31",21,6,2017,3.9,"Collected",0.084707955748416,-0.272768158094672,0.808388233184814,0.953865110874176
833,"mimetic spider","Araneae","Ligonipes sp3","",-23.89775,151.262297222222,10,28.05810398,"Toondon Botanic Gardens, Gladstone, Qld","14:19",22,6,2017,3.9,"Collected",0.361301773982187,-0.0838938287880233,0.869293540716171,0.952371299266815
845,"mimetic spider","Araneae","Ligonipes sp3","",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,4.9,"Collected",0.60972775647687,-0.29916900103216,0.881585568189621,0.903576821088791
846,"mimetic spider","Araneae","Ligonipes sp3","",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,4.2,"Collected",0.151887214391519,-0.035802703845796,0.832750380039215,0.957639813423157
231,"non-mimic","Araneae","Lycosid3 sp1","",-33.76991667,151.1103833,10,62.2,"MQ campus","11:32",19,10,2016,5.4,"Collected",-1.22133050905707,,0,
249,"non-mimic","Araneae","Lycosid4 sp1","",-33.77119722,151.1134806,10,55.7,"MQ campus","14:21",19,10,2016,3.2,"Collected",-0.997464618361636,,0,
258,"non-mimic","Araneae","Lycosid4 sp1","",-33.77091944,151.1137389,10,60.8,"MQ campus","15:01",19,10,2016,2.9,"Collected",-0.990389934762599,,0,
437,"mimetic insect","Mantodea","Mantid1 sp1","",-15.5015944444444,144.484238888889,5,101.935,"Qld, Quinkan Bush Blitz standard survey site 2","15:33",6,3,2017,8.1,"Collected",1.25817731542752,0.982291760878389,0.919157803058624,0.752267241477966
454,"mimetic insect","Mantodea","Mantid2 sp1","",-15.819375,144.42715,1000,,"Qld, Quinkan Bush Blitz site F3","00:00",8,3,2017,14,"Collected",0.388202029344634,0.59912697689562,0.715748727321625,0.873628079891205
810,"mimetic spider","Araneae","Myrmarachne bicolor","(L. Koch, 1879)",-27.3986222222222,152.618119444444,5,60.78912467,"Wivenhoe Dam, Qld","16:25",18,6,2017,5.8,"Collected",0.0337180578572657,-0.595326348680372,0.658747643232346,0.910090357065201
71,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7722611111111,151.107988888889,10,0,"MQ campus, Sydney, NSW","14:30",5,10,2016,4.6,"Collected",-0.0594155302931726,,0.884072840213776,
76,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7978888888889,151.136330555556,10,0,"Blenheim Park, Sydney, NSW","11:30",9,10,2016,8,"Collected",0.406037429371439,,0.755445420742035,
78,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7969388888889,151.135338888889,10,0,"Blenheim Park, Sydney, NSW","11:40",9,10,2016,6.3,"Collected",0.755563125398868,,0.91399347782135,
346,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7710333333333,151.113677777778,10,52.8,"MQ campus, Sydney, NSW","15:10",18,10,2016,4.5,"Collected",-0.036964785831906,-0.118316822127334,0.808043658733368,0.93677693605423
385,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.77065278,151.1141806,10,61.9,"MQ campus","10:20",20,10,2016,6.2,"Collected",0.602755963271147,-0.398425426481551,0.90665191411972,0.854076445102692
424,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.712025,149.970030555556,5,1043.214106,"Duckmaloi, NSW","08:36",9,2,2017,5.7,"Collected",0.26328609256742,-0.398538594787552,0.9167440533638,
508,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-15.5727777777778,144.444886111111,5,74.24267782,"Qld, Laura River near Laura","11:03",16,3,2017,3.5,"Collected",1.14162076061943,,0.618596881628036,
535,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.798425,151.126372222222,10,54.20593368,"Macquarie Hospital grounds, North Ryde, NSW","14:37",8,4,2017,4.7,"Collected",0.354418346062687,-0.647144766379159,0.845696568489075,0.952380031347275
561,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7696,151.111236111111,10,72.68543046,"MQ campus, Sydney, NSW","11:58",16,4,2017,3.4,"Collected",0.051936662600073,,0.709706445535024,
577,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7698388888889,151.110869444444,10,74.41705069,"MQ campus, Sydney, NSW","10:37",20,4,2017,4.2,"Collected",-0.00251823277124902,,0.874633431434631,
661,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7717944444444,151.115202777778,30,60.65020576,"MQ campus, Sydney, NSW","14:02",16,5,2017,5.2,"Collected",0.0855439035097964,-0.308945480994034,0.871940493583679,0.928189188241959
732,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7711944444444,151.113541666667,10,82.31640625,"MQ campus, Sydney, NSW","14:26",17,5,2017,5.6,"Collected",0.319096413546008,-0.252555945483254,0.86007884144783,0.910371661186218
824,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-26.1954527777778,152.659591666667,5,58.57348703,"Gympie, Qld","08:43",23,6,2017,4.9,"Collected",-0.183740365941434,-0.878950278453419,0.822034776210785,0.900565952062607
523,"mimetic spider","Araneae","Myrmarachne juvenile","",-33.8927111111111,151.236297222222,10,56.78583196,"Centennial Park, Sydney, NSW","15:50",1,4,2017,5.4,"Collected",0.0652450935723213,-0.344816387099209,0.256919175386429,0.801900058984756
524,"mimetic spider","Araneae","Myrmarachne juvenile","",-33.8927111111111,151.236297222222,10,56.78583196,"Centennial Park, Sydney, NSW","15:50",1,4,2017,3.9,"Collected",-0.601562482268277,-0.399022962305477,0.734140545129776,0.94776913523674
818,"mimetic spider","Araneae","Myrmarachne juvenile","",-26.9316888888889,152.894425,5,158.7284483,"Glasshouse Mountains Lookout, Qld","10:57",23,6,2017,2.3,"Collected",-0.139677904315254,-0.282578191246618,0.575619071722031,0.810688346624374
822,"mimetic spider","Araneae","Myrmarachne juvenile","",-26.1954527777778,152.659591666667,5,58.57348703,"Gympie, Qld","08:43",23,6,2017,2.6,"Collected",-0.37567600892538,-0.48423761114137,0.794516921043396,0.793211996555328
857,"mimetic spider","Araneae","Myrmarachne juvenile","",-23.8396861111111,151.115708333333,10,44.21996616,"Yarwun, Qld","12:51",22,6,2017,2,"Collected",-0.275590462078971,-0.422386597671591,0.315211623907089,0.679885715246201
911,"mimetic spider","Araneae","Myrmarachne juvenile","",-23.3988138888889,150.50505,10,3.485229415,"Curtis Park, Rockhampton, Qld","09:41",21,6,2017,2.5,"Collected",-0.0390449646737613,-0.293115629599326,0.729998797178268,0.903504997491837
12,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.7710138888889,151.113375,10,0,"MQ campus, Sydney, NSW","12:00",24,9,2016,6.7,"Collected",-0.380090566272505,,0.715164959430695,
380,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.7752805555556,151.107008333333,10,0,"MQ campus, Sydney, NSW","14:45",31,10,2016,7.2,"Collected",-0.301572108652061,0.0628553723377407,0.647214949131012,0.960265517234802
383,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.7978138888889,151.136366666667,10,69,"Blenheim Park, Sydney, NSW","16:31",10,11,2016,5.6,"Collected",,-0.200373558479204,,0.895585834980011
386,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.7962777777778,151.134375,,,"Blenheim Park, North Ryde, NSW","16:50",10,1,2017,6,"Collected",-0.10331784673335,-0.285693767209055,0.628709435462952,0.609476059675217
387,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.773525,151.11615,5,53.88616715,"MQ campus, Sydney, NSW","15:02",12,1,2017,4,"Collected",-0.0518655084218643,-0.230594650858276,0.806022971868515,0.885564297437668
388,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.7136194444444,149.972077777778,10,1049.655405,"Duckmaloi, NSW","11:08",16,1,2017,6.2,"Collected",-0.41391771670394,-0.31218129449939,0.717876732349396,
475,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-15.8388916666667,144.639830555556,5,630.3178295,"Qld, Quinkan Bush Blitz site F1 (Hilltop)","10:07",13,3,2017,4.9,"Collected",0.164556745946052,,0,
543,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-34.8833333333333,150.6,50000,,"Nowra, NSW","",,,,4.9,"Borrowed from AM",0.0582699126805075,,,
544,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-34.8833333333333,150.6,50000,,"Nowra, NSW","",,,,6.8,"Borrowed from AM",0.0624771707100606,,,
545,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-34.8833333333333,150.6,50000,,"Nowra, NSW","",,,,5,"Borrowed from AM",0.295330890172055,,,
546,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-34.8833333333333,150.6,50000,,"Nowra, NSW","",,,,5.2,"Borrowed from AM",0.0377641315918162,,,
547,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-34.8833333333333,150.6,50000,,"Nowra, NSW","",,,,5.3,"Borrowed from AM",0.207997055896303,,,
548,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-34.8833333333333,150.6,50000,,"Nowra, NSW","",,,,5.2,"Borrowed from AM",0.252891380457171,,,
549,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-34.8833333333333,150.6,50000,,"Nowra, NSW","",,,,3.9,"Borrowed from AM",0.00999922457970255,,,
550,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-34.8833333333333,150.6,50000,,"Nowra, NSW","",,,,5.7,"Borrowed from AM",-0.0688838441983688,,,
564,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.7696388888889,151.111497222222,10,69.99188312,"MQ campus, Sydney, NSW","12:09",16,4,2017,5.4,"Collected",0.257382368544636,,0.80622665087382,
589,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.77665,151.115738888889,10,64.25255973,"MQ campus, Sydney, NSW","09:49",24,4,2017,4.2,"Collected",-0.300091570154649,-0.778130836227454,0.749498307704926,0.907078325748444
700,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.6292527777778,150.765791666667,30,30.63867188,"UWS Richmond, NSW","12:39",12,5,2017,6.5,"Collected",0.23377910501739,,0.801654577255249,
733,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.7711944444444,151.113541666667,10,82.31640625,"MQ campus, Sydney, NSW","14:26",17,5,2017,6.3,"Collected",-0.514141379847342,-0.449529236664224,0.69227409362793,0.895643562078476
479,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-15.8388916666667,144.639830555556,5,630.3178295,"Qld, Quinkan Bush Blitz site F1 (Hilltop)","10:07",13,3,2017,4.7,"Collected",-0.660340803020626,-0.846106162309493,0.634694993495941,0.856104850769043
505,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-15.5726472222222,144.445580555556,20,77.60656793,"Track near Laura River, Qld","10:53",16,3,2017,4,"Collected",0.194499704420445,,0.932488262653351,
826,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,4.1,"Collected",-0.335369181671977,-0.771573321147033,0.902628461519877,0.793505012989044
827,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,5.3,"Collected",-0.031180500757775,-0.375985349674122,0.931332767009735,0.935128688812256
902,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-23.3994472222222,150.504913888889,5,13.82537835,"Curtis Park, Rockhampton, Qld","08:19",21,6,2017,6.1,"Collected",0.592354925648724,0.256404751939561,0.850402802228928,0.885930836200714
914,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-23.3994472222222,150.504913888889,5,13.82537835,"Curtis Park, Rockhampton, Qld","08:19",21,6,2017,3.5,"Collected",0.263351238957828,-0.183836105534907,0.820285111665726,0.917136281728745
942,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-23.3994472222222,150.504913888889,5,13.82537835,"Curtis Park, Rockhampton, Qld","08:19",21,6,2017,3.7,"Collected",0.0372952043565644,-0.20149514893596,0.933981239795685,0.967493504285812
69,"model","Hymenoptera","Myrmecia mandibularis","(Smith, 1858)",-33.7722611111111,151.107988888889,10,0,"MQ campus, Sydney, NSW","14:30",5,10,2016,9.5,"Collected",2.75024534752857,,0.977753162384033,
566,"model","Hymenoptera","Myrmecia mandibularis","(Smith, 1858)",-33.7696388888889,151.111497222222,10,69.99188312,"MQ campus, Sydney, NSW","12:09",16,4,2017,10.2,"Collected",1.98832889320155,,0.939595460891724,
75,"model","Hymenoptera","Notoncus sp1","",-33.7978888888889,151.136330555556,10,0,"Blenheim Park, Sydney, NSW","11:30",9,10,2016,4,"Collected",,1.72410238168603,,0
370,"model","Hymenoptera","Notoncus sp1","",-33.77006667,151.1102917,10,73.5,"MQ campus","12:34",22,10,2016,4.1,"Collected",,1.63805333987005,,0.764327049255371
687,"non-mimic","Araneae","Nyssus coloripes","(Walckenaer, 1805)",-33.6270777777778,150.768936111111,5,29.73651192,"UWS Richmond, NSW","13:29",12,5,2017,5.9,"Collected",-0.671073751531654,-0.909490169900346,0.181751628716787,0.689583480358124
433,"model","Hymenoptera","Odontomachus sp1","",-15.5659666666667,144.448655555556,5,105.7442024,"Quinkan bush blitz, Qld, campsite","10:31",6,3,2017,9.4,"Collected",2.16860964224282,,0.871882140636444,
500,"model","Hymenoptera","Oecophylla smaragdina","(Fabricius, 1775)",-15.7778694444444,144.372038888889,10,296.421875,"Qld, rainforest gully near Quinkan Bush Blitz site B1","13:23",14,3,2017,6.6,"Collected",2.51841523250619,0.79963753602237,0.814827561378479,0.862656772136688
509,"model","Hymenoptera","Opisthopsis sp1","",-15.5727777777778,144.444886111111,5,74.24267782,"Qld, Laura River near Laura","11:03",16,3,2017,3.8,"Collected",1.59336902501888,3.51832062783422,0.680742800235748,0
260,"non-mimic","Araneae","Oxyopes elegans","(L. Koch, 1878)",-33.77091944,151.1137389,10,60.8,"MQ campus","15:01",19,10,2016,6.9,"Collected",-0.856144885056318,-0.968653447982448,0,0
977,"mimetic spider","Araneae","Poecilipta kohouti","(Raven, 2015)",-29,146,,,"Far north NSW","00:00",26,11,1999,4.4,"Borrowed from AM",,-0.652101144034694,,
978,"mimetic spider","Araneae","Poecilipta kohouti","(Raven, 2015)",-29,146,,,"Far north NSW","00:00",26,11,1999,4.5,"Borrowed from AM",-0.303963399972396,,,
979,"mimetic spider","Araneae","Poecilipta kohouti","(Raven, 2015)",-29,146,,,"Far north NSW","00:00",26,11,1999,4.5,"Borrowed from AM",-0.458042479052491,,,
980,"mimetic spider","Araneae","Poecilipta kohouti","(Raven, 2015)",-29,146,,,"Far north NSW","00:00",26,11,1999,4.4,"Borrowed from AM",-0.390084692930906,,,
981,"mimetic spider","Araneae","Poecilipta kohouti","(Raven, 2015)",-29,146,,,"Far north NSW","00:00",26,11,1999,4.8,"Borrowed from AM",-0.279920140228999,,,
982,"mimetic spider","Araneae","Poecilipta kohouti","(Raven, 2015)",-29,146,,,"Far north NSW","00:00",26,11,1999,4.6,"Borrowed from AM",-0.281883905209531,,,
983,"mimetic spider","Araneae","Poecilipta kohouti","(Raven, 2015)",-29,146,,,"Far north NSW","00:00",26,11,1999,4.4,"Borrowed from AM",-0.324911083960227,,,
410,"mimetic spider","Araneae","Poecilipta sp1","",-33.7128027777778,149.972016666667,5,1052.788235,"Duckmaloi, NSW","16:33",7,2,2017,5,"Collected",-0.462658770246548,-0.489568514345324,0.264274686574936,0.726555913686752
256,"model","Hymenoptera","Polyrhachis ammon","(Fabricius, 1775)",-33.77108333,151.1138167,10,57.5,"MQ campus","14:46",19,10,2016,7.4,"Collected",,2.76544592593555,,0.549221277236938
565,"model","Hymenoptera","Polyrhachis ammon","(Fabricius, 1775)",-33.7696388888889,151.111497222222,10,69.99188312,"MQ campus, Sydney, NSW","12:09",16,4,2017,7,"Collected",2.34410829108437,,0.8285986383756,
829,"model","Hymenoptera","Polyrhachis monteithi","(Kohout, 2006)",-23.89775,151.262297222222,10,28.05810398,"Toondon Botanic Gardens, Gladstone, Qld","14:19",22,6,2017,5.9,"Collected",3.82410932776356,1.35132999042777,0.961453318595886,0.956489771604538
66,"model","Hymenoptera","Polyrhachis sp1","",-33.7722611111111,151.107988888889,10,0,"MQ campus, Sydney, NSW","14:30",5,10,2016,5.6,"Collected",0.859292705902862,,0.919267892837524,
309,"model","Hymenoptera","Polyrhachis sp1","",-33.77115278,151.1135556,10,54.7,"MQ campus","12:46",20,10,2016,5,"Collected",,2.56556590079017,,0.94005298614502
74,"model","Hymenoptera","Polyrhachis sp2","",-33.7978888888889,151.136330555556,10,0,"Blenheim Park, Sydney, NSW","11:30",9,10,2016,7.7,"Collected",3.05345434401518,,0.879077851772308,
384,"model","Hymenoptera","Polyrhachis sp2","",-33.7978138888889,151.136366666667,10,69,"Blenheim Park, Sydney, NSW","16:31",10,11,2016,7.5,"Collected",2.80073448573345,2.2183166217146,0.895495355129242,0.968436062335968
431,"model","Hymenoptera","Polyrhachis sp4","",-33.7970861111111,151.135191666667,5,50.58929465,"Blenheim Park, North Ryde, NSW","16:44",22,2,2017,8.4,"Collected",,1.60864703425762,,0.870590070883433
488,"mimetic insect","Hemiptera","Reduviid1 sp1","",-15.774375,144.381972222222,5,396.9470199,"Qld, Quinkan Bush Blitz site B1","10:38",14,3,2017,3,"Collected",0.89602341901857,0.532099439558806,0.359570533037186,0.863961398601532
490,"mimetic insect","Hemiptera","Reduviid1 sp1","",-15.774375,144.381972222222,5,396.9470199,"Qld, Quinkan Bush Blitz site B1","10:38",14,3,2017,2.6,"Collected",1.42251230702085,0.598576164276431,0.864676088094711,0.887763887643814
609,"mimetic spider","Araneae","Rhombonotus gracilis","(Koch L., 1879)",-27.4842444444444,153.054966666667,1e+05,,"Brisbane, Qld","00:00",30,4,2017,2.5,"Collected",-0.421546904455382,-0.460875307128301,0.893032252788544,0.8964923620224
832,"mimetic spider","Araneae","Rhombonotus gracilis","(Koch L., 1879)",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,2.3,"Collected",-0.156232207516362,-0.217782152237379,0.751730859279633,0.794410347938538
841,"mimetic spider","Araneae","Rhombonotus gracilis","(Koch L., 1879)",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,3.3,"Collected",-0.288553135081332,-0.507361097191192,0.91602087020874,0.884686172008514
844,"mimetic spider","Araneae","Rhombonotus gracilis","(Koch L., 1879)",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,3.2,"Collected",0.00231471801818662,-0.198650421622121,0.653232991695404,0.870480686426163
847,"mimetic spider","Araneae","Rhombonotus gracilis","(Koch L., 1879)",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,3.1,"Collected",0.208388065108868,-0.145745011912032,0.749971836805344,0.918324649333954
618,"non-mimic","Araneae","Rhombonotus sp1","",-30,148,,,"Wilga Park, NSW","00:00",1,2,2001,2.8,"Borrowed from AM",-0.382854672340261,,,
73,"model","Hymenoptera","Rhytidoponera metallica","(Smith, 1858)",-33.7978888888889,151.136330555556,10,0,"Blenheim Park, Sydney, NSW","11:30",9,10,2016,7.9,"Collected",2.24033380867514,,0.959547162055969,
204,"model","Hymenoptera","Rhytidoponera metallica","(Smith, 1858)",-33.77065,151.1142417,10,58.9,"MQ campus","17:01",18,10,2016,6.4,"Collected",,1.90001797596447,,0.743299603462219
567,"model","Hymenoptera","Rhytidoponera metallica","(Smith, 1858)",-33.7696388888889,151.111497222222,10,69.99188312,"MQ campus, Sydney, NSW","12:09",16,4,2017,4.6,"Collected",1.74616779515118,,0.955086290836334,
434,"mimetic insect","Hemiptera","Riptortus abdominalis","(Westwood, 1842)",-15.6317194444444,144.647216666667,10,182.4126582,"Qld, Quinkan Bush Blitz site B11","10:07",7,3,2017,8.7,"Collected",0.322315000827241,,0.891079843044281,
462,"mimetic insect","Hemiptera","Riptortus abdominalis","(Westwood, 1842)",-15.7490055555556,144.316711111111,5,295.4179688,"Qld, Quinkan Bush Blitz site F2/B4","13:43",10,3,2017,11.1,"Collected",-0.671335006192775,-0.414583476688362,0.717700779438019,0.823866724967957
487,"mimetic insect","Hemiptera","Riptortus abdominalis","(Westwood, 1842)",-15.774375,144.381972222222,5,396.9470199,"Qld, Quinkan Bush Blitz site B1","10:38",14,3,2017,3.9,"Collected",-0.0784244240067949,,0.897634476423264,
493,"mimetic insect","Hemiptera","Riptortus abdominalis","(Westwood, 1842)",-15.8616,145.0183,5000,,"Qld, Quinkan Bush Blitz site B19","00:00",15,3,2017,11.1,"Collected",-0.667649400717265,,0.73432819545269,
494,"non-mimic","Hemiptera","Riptortus abdominalis","(Westwood, 1842)",-15.8616,145.0183,5000,,"Qld, Quinkan Bush Blitz site B19","00:00",15,3,2017,14.4,"Collected",-0.897614732967022,-0.929703738617369,0,0
925,"mimetic spider","Araneae","Salticid17 sp1","",-23.3996361111111,150.504455555556,5,11.0367428,"Curtis Park, Rockhampton, Qld","08:30",21,6,2017,2.5,"Collected",-0.583774897545933,-0.531141716073582,0.259225159883499,0.755296071370443
926,"non-mimic","Araneae","Salticid18 sp1","",-23.3988388888889,150.505202777778,10,19.1799308,"Curtis Park, Rockhampton, Qld","10:18",21,6,2017,2.3,"Collected",-0.847341926214492,-1.0633583253332,0,0
53,"non-mimic","Araneae","Salticid5 sp1","",-33.7693611111111,151.115138888889,10,0,"MQ campus, Sydney, NSW","09:50",5,10,2016,8.2,"Collected",-0.982259073483439,,0,
58,"non-mimic","Araneae","Salticid7 sp1","",-33.7693611111111,151.115138888889,10,0,"MQ campus, Sydney, NSW","09:50",5,10,2016,5.9,"Collected",-0.738327288337469,,0,
15,"non-mimic","Araneae","Servaea incana","(L. Keyserling, 1878)",-33.7710388888889,151.113427777778,10,0,"MQ campus, Sydney, NSW","11:40",26,9,2016,8.8,"Collected",-1.065049025193,,0,
17,"non-mimic","Araneae","Servaea incana","(L. Keyserling, 1878)",-33.7710388888889,151.113427777778,10,0,"MQ campus, Sydney, NSW","11:40",26,9,2016,8.2,"Collected",-0.178792979812754,,0,
67,"model","Hymenoptera","Sphinctomyrmex sp1","",-33.7722611111111,151.107988888889,10,0,"MQ campus, Sydney, NSW","14:30",5,10,2016,4.5,"Collected",0.963199631657274,,0,
3,"model","Hymenoptera","Stigmacros sp1","",-33.7710138888889,151.113375,10,0,"MQ campus, Sydney, NSW","12:00",24,9,2016,2.3,"Collected",,0.733818807128901,,0.608481466770172
552,"non-mimic","Araneae","Storena mainae","(Jocqué & Baehr, 1995)",-37.1166666666667,149.133333333333,,,"Bondi State Forest, NSW","",,,,12.1,"Borrowed from AM",-0.24085055591618,,,
553,"non-mimic","Araneae","Storena mainae","(Jocqué & Baehr, 1995)",-37.1166666666667,149.133333333333,,,"Bondi State Forest, NSW","",,,,11.4,"Borrowed from AM",-0.121888387237118,,,
240,"non-mimic","Araneae","Tamopsis fickerti","(L. Koch, 1876)",-33.77013333,151.1101222,10,67.4,"MQ campus","12:22",19,10,2016,6.7,"Collected",-0.783143813817881,,0,
244,"model","Hymenoptera","Tapinoma sp1","",-33.77035556,151.109925,10,74.9,"MQ campus","12:40",19,10,2016,2,"Collected",,1.35350940327529,,0
319,"model","Hymenoptera","Tapinoma sp1","",-33.76950833,151.1109778,10,69.4,"MQ campus","13:43",20,10,2016,2.1,"Collected",,2.65867926787482,,0.608691811561584
54,"non-mimic","Araneae","Thomisid1 sp1","",-33.7693611111111,151.115138888889,10,0,"MQ campus, Sydney, NSW","09:50",5,10,2016,3.4,"Collected",-1.49807338921451,,0,
538,"mimetic spider","Araneae","Tinytrema bondi","(Platnick, 2002)",-37.0083333333333,149.392222222222,,,"Coolangubra State Forest, NSW","",,,,3.4,"Borrowed from AM",0.298987364316827,,,
1,"mimetic insect","Hymenoptera","Vespoidea2 sp1","",-33.7710138888889,151.113375,10,0,"MQ campus, Sydney, NSW","12:00",24,9,2016,3,"Collected",0.874956414222074,,0,
416,"mimetic insect","Hymenoptera","Vespoidea3 sp1","",-33.7127722222222,149.972213888889,5,1074.667482,"Duckmaloi, NSW","12:30",8,2,2017,3.7,"Collected",0.721387288600162,-0.420630042487865,0.625799715518951,0
79,"mimetic insect","Hymenoptera","Vespoidea3 sp3","",-33.7733,151.1152,10,0,"MQ campus, Sydney, NSW","09:40",11,10,2016,3.6,"Collected",0.408024708207786,,0,
430,"non-mimic","Hymenoptera","Vespoidea4 sp1","",-33.7959416666667,151.134094444444,5,60.42358079,"Blenheim Park, North Ryde, NSW","16:31",22,2,2017,5.1,"Collected",-0.890075394445956,0.500770609946753,0.922798097133636,0.950268805027008
657,"non-mimic","Hymenoptera","Vespoidea4 sp1","",-33.7709277777778,151.113586111111,10,88.52471483,"MQ campus, Sydney, NSW","12:42",16,5,2017,4.2,"Collected",-0.285669206732739,-0.435267818795716,0.878465384244919,0.879710465669632
664,"non-mimic","Hymenoptera","Vespoidea4 sp1","",-33.7725222222222,151.115158333333,65,65,"MQ campus, Sydney, NSW","13:46",16,5,2017,4.3,"Collected",-1.25394177411524,-0.633541561202649,0.940318197011948,0.737994223833084
536,"mimetic insect","Hymenoptera","Vespoidea5 sp1","",-33.798425,151.126372222222,10,54.20593368,"Macquarie Hospital grounds, North Ryde, NSW","14:37",8,4,2017,6,"Collected",-0.0934385652236696,0.0486699076145197,0.959909409284592,0.919166684150696
654,"mimetic insect","Hymenoptera","Vespoidea5 sp1","",-33.7709277777778,151.113586111111,10,88.52471483,"MQ campus, Sydney, NSW","12:42",16,5,2017,6.5,"Collected",-0.412663470106696,-0.0157312690364737,0.883745342493057,0.907271087169647
694,"mimetic insect","Hymenoptera","Vespoidea5 sp1","",-33.6268472222222,150.768538888889,5,11.63037109,"UWS Richmond, NSW","14:29",12,5,2017,7.7,"Collected",-0.365212848501142,,0.380568325519562,
783,"mimetic insect","Hymenoptera","Vespoidea5 sp1","",-33.62605,150.765136111111,10,28.84991274,"UWS Richmond, NSW","11:10",23,5,2017,4.7,"Collected",-0.194250467297596,0.0403973089183233,0.747041344642639,0.722399234771729
579,"mimetic insect","Hymenoptera","Vespoidea6 sp1","",-33.7698388888889,151.110869444444,10,74.41705069,"MQ campus, Sydney, NSW","10:37",20,4,2017,5.3,"Collected",1.09874247550808,0.330396626122478,0.897637039422989,0.92426061630249
